time, language, total, test, comment
1682791321 +0200, Other, 9256, 0, 0
1682837424 +0200, Other, 408, 0, 0
1682842078 +0200, Other, 408, 0, 0
1682879346 +0200, Other, 414, 0, 0
1682918401 +0200, Other, 524, 0, 0
1682918995 +0200, Other, 524, 0, 0
1682931485 +0200, Other, 520, 0, 0
1682942564 +0200, Other, 494, 0, 0
1682943682 +0200, Other, 6, 0, 0
1682959593 +0200, Other, 0, 0, 0
1682959943 +0200, Other, 1106, 0, 0
1683035855 +0200, Other, 1112, 0, 0
1683039186 +0200, Other, 1114, 0, 0
1683042818 +0200, Other, 1112, 0, 0
1683043116 +0200, Other, 1112, 0, 0
1683044596 +0200, Other, 1112, 0, 0
1683044815 +0200, Other, 1112, 0, 0
1683044959 +0200, Other, 1110, 0, 0
1683047442 +0200, Other, 1110, 0, 0
1683125690 +0200, Other, 1110, 0, 0
1683133415 +0200, Other, 1128, 0, 0
1683225630 +0200, Other, 1150, 0, 0
1683226509 +0200, Other, 1148, 0, 0
1683283961 +0200, Other, 1152, 0, 0
1683308844 +0200, Other, 1150, 0, 0
1683314755 +0200, Other, 1200, 0, 0
1683361711 +0200, Other, 1200, 0, 0
1683361785 +0200, Other, 1196, 0, 0
1683362277 +0200, Other, 1196, 0, 0
1683362401 +0200, Other, 1196, 0, 0
1683363656 +0200, Other, 1196, 0, 0
1683377358 +0200, Other, 1170, 0, 0
1683377566 +0200, Other, 1168, 0, 0
1683458191 +0200, Other, 1168, 0, 0
1683737713 +0200, Other, 1030, 0, 0
1683738643 +0200, Other, 1030, 0, 0
1683738693 +0200, Other, 1156, 0, 0
1683739862 +0200, Other, 1156, 0, 0
1683740685 +0200, Other, 1172, 0, 0
1683918258 +0200, Other, 1284, 0, 0
1683918258 +0200, Other, 1172, 0, 0
1683918804 +0200, Other, 1286, 0, 0
1683967425 +0200, Other, 1290, 0, 0
1683977912 +0200, Other, 1286, 0, 0
1683980844 +0200, Other, 1286, 0, 0
1683996350 +0200, Other, 1286, 0, 0
1684053607 +0200, Other, 1284, 0, 0
1684075808 +0200, Other, 1286, 0, 0
1684157781 +0200, Other, 1286, 0, 0
1684158602 +0200, Other, 1284, 0, 0
1684354822 +0200, Other, 1284, 0, 0
1684387648 +0200, Other, 4, 0, 0
1684394814 +0200, Other, 0, 0, 0
1684403081 +0200, Other, 1332, 0, 0
1684403114 +0200, Other, 1330, 0, 0
1684410006 +0200, Other, 1438, 0, 0
1684411004 +0200, Other, 2028, 0, 0
1684411033 +0200, Other, 1562, 0, 0
1684411309 +0200, Other, 1608, 0, 0
1684411450 +0200, Other, 1604, 0, 0
1684411496 +0200, Other, 1616, 0, 0
1684411506 +0200, Other, 1614, 0, 0
1684411886 +0200, Other, 1614, 0, 0
1684415479 +0200, Other, 1616, 0, 0
1684415957 +0200, Other, 1620, 0, 0
1684419738 +0200, Other, 1486, 0, 0
1684420719 +0200, Other, 1488, 0, 0
1684494052 +0200, Other, 1336, 0, 0
1684498454 +0200, Other, 1334, 0, 0
1684519712 +0200, Other, 1338, 0, 0
1684571472 +0200, Other, 1340, 0, 0
1684573698 +0200, Other, 1382, 0, 0
1684575033 +0200, Other, 1458, 0, 0
1684586699 +0200, Other, 1410, 0, 0
1684588083 +0200, Other, 1360, 0, 0
1684588985 +0200, Other, 1396, 0, 0
1684681929 +0200, Other, 162, 0, 0
1684851761 +0200, Other, 0, 0, 0
1685028553 +0200, Other, 5350, 0, 0
